,corr_with_cycle,corr_with_rul
sensor_11,0.6343845048360557,-0.7752298218711844
sensor_4,0.624577166331804,-0.7571567446044661
sensor_12,-0.6113536330275973,0.7488698691356827
sensor_7,-0.5959135558088287,0.7330210310751446
sensor_15,0.5886757839101253,-0.7208584828527724
sensor_21,-0.585923382121326,0.7073341478068393
sensor_20,-0.5835968919059387,0.7046255559265673
sensor_17,0.5669949114523478,-0.6808294987192732
sensor_2,0.5498980406467346,-0.6784582844136723
sensor_3,0.5439469967381748,-0.6550303884869659
sensor_8,0.475977318858699,-0.6245680273985932
sensor_13,0.4775229634969358,-0.6240343312566689
sensor_9,0.44399934723929063,-0.46215091781285467
sensor_14,0.3703236341977566,-0.36975255792510947
sensor_6,0.10597998498960494,-0.10828884295558856
