param_n_estimators,param_max_depth,param_learning_rate,mean_train_score,mean_test_score,std_test_score,rank_test_score,Mean_Train_RMSE,Mean_CV_RMSE
200,4,0.03,-17.096914927164715,-18.951897939046223,1.0504871069182635,1,17.096914927164715,18.951897939046223
400,4,0.03,-16.309839248657227,-18.972599029541016,1.0915593120907905,2,16.309839248657227,18.972599029541016
200,4,0.05,-16.604289372762043,-18.98680369059245,1.1091996558078459,3,16.604289372762043,18.98680369059245
400,3,0.03,-17.38009516398112,-19.0472412109375,1.0688292819017793,4,17.38009516398112,19.0472412109375
400,3,0.05,-16.916777928670246,-19.06009801228841,1.0928703938831763,5,16.916777928670246,19.06009801228841
200,3,0.05,-17.531038920084637,-19.06203269958496,1.0778757889619992,6,17.531038920084637,19.06203269958496
400,4,0.05,-15.453865687052408,-19.06277847290039,1.1162862111794063,7,15.453865687052408,19.06277847290039
200,3,0.03,-17.859926223754883,-19.111862182617188,0.9768458973320374,8,17.859926223754883,19.111862182617188
200,3,0.1,-16.966620763142902,-19.141477584838867,1.0713021840002648,9,16.966620763142902,19.141477584838867
200,4,0.1,-15.558512369791666,-19.161773681640625,1.101315159767431,10,15.558512369791666,19.161773681640625
400,3,0.1,-15.984843571980795,-19.215099970499676,1.052149433695049,11,15.984843571980795,19.215099970499676
400,2,0.1,-17.481051762898762,-19.247588475545246,1.0910474501989027,12,17.481051762898762,19.247588475545246
400,2,0.05,-17.90497334798177,-19.264675776163738,1.0197557861786624,13,17.90497334798177,19.264675776163738
200,2,0.1,-17.93402608235677,-19.301912943522137,1.0374598935540436,14,17.93402608235677,19.301912943522137
400,2,0.03,-18.159182866414387,-19.317415873209637,0.9674762903072908,15,18.159182866414387,19.317415873209637
200,2,0.05,-18.27998161315918,-19.400808970133465,0.9351289614278988,16,18.27998161315918,19.400808970133465
400,4,0.1,-13.676335334777832,-19.415913263956707,1.1028706420138927,17,13.676335334777832,19.415913263956707
200,2,0.03,-18.57721201578776,-19.601657231648762,0.8065819213634993,18,18.57721201578776,19.601657231648762
