engine_id,partition
56,train
89,train
27,train
43,train
70,train
16,train
41,train
97,train
10,train
73,train
12,train
48,train
86,train
29,train
94,train
6,train
67,train
66,train
36,train
17,train
50,train
35,train
8,train
96,train
28,train
20,train
82,train
26,train
63,train
14,train
25,train
4,train
18,train
39,train
9,train
79,train
7,train
65,train
37,train
90,train
57,train
100,train
55,train
44,train
51,train
68,train
47,train
69,train
62,train
98,train
80,train
42,train
59,train
49,train
99,train
58,train
76,train
33,train
95,train
60,train
64,train
85,train
38,train
30,train
2,train
53,train
22,train
3,train
24,train
88,train
92,train
75,train
87,train
83,train
21,train
61,train
72,train
15,train
93,train
52,train
84,validation
54,validation
71,validation
46,validation
45,validation
40,validation
23,validation
81,validation
11,validation
1,validation
19,validation
31,validation
74,validation
34,validation
91,validation
5,validation
77,validation
78,validation
13,validation
32,validation
